Category,Name,Name_EN,Description,Description_EN,Price,Is_Vegetarian,Is_Vegan,Is_Spicy,Spicy_Level,Allergens,Ingredients,Calories
Salatalar,Akdeniz Salatası,Mediterranean Salad,Taze sebzeler zeytinyağı ve beyaz peynir,Fresh vegetables with olive oil and feta cheese,55.00,1,0,0,0,"dairy","lettuce,tomato,cucumber,feta,olives,olive oil",280
Salatalar,Ton Balıklı Salata,Tuna Salad,Ton balıklı karışık yeşillikler,Mixed greens with tuna,65.00,0,0,0,0,"fish","lettuce,tuna,tomato,corn,olive oil",320
İçecekler,Coca Cola,Coca Cola,Coca Cola 330ml,Coca Cola 330ml,15.00,1,1,0,0,"","",140
İçecekler,Fanta,Fanta,Fanta Portakal 330ml,Fanta Orange 330ml,15.00,1,1,0,0,"","",160
İçecekler,Sprite,Sprite,Sprite 330ml,Sprite 330ml,15.00,1,1,0,0,"","",140
İçecekler,Su,Water,Su 500ml,Water 500ml,10.00,1,1,0,0,"","",0
İçecekler,Ayran,Ayran,Ev yapımı ayran,Homemade ayran,12.00,1,0,0,0,"dairy","yogurt,water,salt",60
İçecekler,Limonata,Lemonade,Taze sıkılmış limonata,Freshly squeezed lemonade,20.00,1,1,0,0,"","lemon,water,sugar",80
İçecekler,Portakal Suyu,Orange Juice,Taze sıkılmış portakal suyu,Freshly squeezed orange juice,25.00,1,1,0,0,"","orange",110
Tatlılar,Tiramisu,Tiramisu,Klasik İtalyan tatlısı,Classic Italian dessert,50.00,1,0,0,0,"gluten,dairy,egg","mascarpone,coffee,ladyfingers,cocoa",420
Tatlılar,Cheesecake,Cheesecake,New York usulü cheesecake,New York style cheesecake,45.00,1,0,0,0,"gluten,dairy,egg","cream cheese,graham crackers,sugar",380
Tatlılar,Sütlaç,Rice Pudding,Fırın sütlaç,Oven baked rice pudding,35.00,1,0,0,0,"dairy","rice,milk,sugar",280
Tatlılar,Profiterol,Profiterole,Çikolata soslu profiterol,Profiterole with chocolate sauce,48.00,1,0,0,0,"gluten,dairy,egg","choux pastry,cream,chocolate",520
Tatlılar,Dondurma,Ice Cream,3 top dondurma (vanilyaçikolataçilek),3 scoops ice cream (vanilla chocolate strawberry),30.00,1,0,0,0,"dairy","milk,cream,sugar",240
